...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error,sim,final_min_error
3310,3310,8.448189077828902,3.230365124307499,34.62135568921463,0.3467087019925514,0.5057597049863223,0.8051313334681388,0.9287955212562378,1.7331,1.7331,18,1.7331
3506,3506,4.992779550776506,3.264262630160177,35.58531000984785,0.33584942287895964,0.5152353024106838,0.7868946592567718,0.8988420064197169,1.82508,1.82508,5,1.82508
2358,2358,20.402388324542,3.258366684848372,32.8111045866161,0.31626855108312857,0.4995550289390369,0.7814735352819732,0.9549592181131142,1.87714,1.87714,3,1.87714
2740,2740,6.3992777080915415,3.432315621425954,34.40461249110581,0.3413653316223809,0.5001502608239977,0.7915042950650459,0.9126137090201653,1.88776,1.88776,16,1.88776
2570,2570,5.956210925895553,3.0576728340435237,34.40370031981266,0.3335516005565684,0.5205079018385317,0.8172124770457192,0.9124824750705026,1.9259,1.9259,13,1.9259
3950,3950,9.70969210325953,3.3038875049696084,32.71343756977336,0.3308832554976873,0.5248555895951164,0.8099420743941571,0.9311722305302066,1.94095,1.94095,10,1.94095
3740,3740,10.769460222219768,3.147298896790661,36.12540222759662,0.3502285411570886,0.5062386311392848,0.7955590071449168,0.94112370454618,1.97162,1.97162,20,1.97162
1137,1137,4.352515380985459,3.4756149904894253,33.71026773110792,0.34255378866475383,0.45329033941562075,0.7547105348378115,0.8820545753964046,2.12003,2.12003,15,2.12003
1712,1712,8.81726711076773,3.4467425167753896,32.96223604405428,0.34069647064198316,0.5371331880127026,0.7906601784403617,0.9430671170637156,2.12859,2.12859,17,2.12859
2277,2277,13.246399641507592,3.49537206832721,34.51480006084602,0.3157589616019252,0.5320341042690006,0.7437392157361918,0.9539496352228164,2.15912,2.15912,12,2.15912
2237,2237,12.120616790071027,3.3599774677071648,36.45197838470021,0.3170723506628262,0.5103803541208366,0.7344002873467946,0.9358513405194788,2.2099,2.2099,1,2.2099
3868,3868,21.80775348270781,3.205285975896048,33.592476776238264,0.3418443183020143,0.5168519961857847,0.8295579249179084,0.9600412257622588,2.29149,2.29149,2,2.29149
3791,3791,15.036025848326268,3.433168845475432,35.415374486382355,0.3444219927723835,0.5208688216749318,0.748190381092203,0.940357615618319,2.3741,2.3741,8,2.3741
3761,3761,16.41272723720039,3.5829100223683423,33.86210243150058,0.3555244684057465,0.47006900142581054,0.7647131418991712,0.9559224840274636,2.51179,2.51179,7,2.51179
3987,3987,10.524229803551696,3.25802037311204,34.561404977120915,0.3031418068427732,0.517458274342802,0.734457873267438,0.9375678947856488,2.80324,2.80324,19,2.80324
2404,2404,11.843559907423096,3.6924744152004143,35.76700463577032,0.37135405077951505,0.5029808335562105,0.7902344499672029,0.9649401083922148,2.86039,2.86039,6,2.86039
2893,2893,10.09391112005381,3.650757111272635,31.66714466347692,0.31452951772497906,0.4660242563558803,0.7141142714196971,0.9644003068304032,3.69717,3.69717,9,3.69717
3886,3886,12.204487135098663,3.2064018338848483,32.84040132539972,0.3214387395887668,0.5102619805527278,0.6503691623965535,0.9619869319558846,3.7329,3.7329,4,3.7329
3586,3586,6.442783846707598,3.11176933315558,31.46165698366685,0.287679491521116,0.5437102629030001,0.6199399912006917,0.9426276444612351,4.59248,4.59248,14,4.59248
3299,3299,13.011382685763284,3.396235439001731,31.171343307821616,0.3075519730965539,0.5792274874361477,0.5530689224016119,0.9552355446565428,5.08867,5.08867,11,5.08867
