...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
0,0,11.995888750022946,16.59195315716428,16.115744111941382,0.39661778011512927,0.4572897882727304,0.3820969548114478,0.713347550472103,75.70906,75.70906
1,1,11.995888750022946,16.59195315716428,16.115744111941382,0.39661778011512927,0.4814830151805603,0.3820969548114478,0.713347550472103,77.00024,75.70906
2,2,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.3820969548114478,0.713347550472103,74.4516,74.4516
3,3,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.713347550472103,73.90458,73.90458
4,4,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4238750792995413,0.35174578637548914,0.713347550472103,75.42932,73.90458
5,5,11.995888750022946,15.643070079965316,15.690753028770589,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.713347550472103,75.19386,73.90458
6,6,11.995888750022946,15.643070079965316,16.115744111941382,0.4298200838396343,0.4572897882727304,0.35174578637548914,0.713347550472103,74.42504,73.90458
7,7,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.47750757006259936,0.35174578637548914,0.713347550472103,75.2981,73.90458
8,8,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.662470466239883,76.51593,73.90458
9,9,11.995888750022946,16.137848101082845,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.713347550472103,75.22193,73.90458
10,10,11.995888750022946,15.643070079965316,16.115744111941382,0.4315830451341403,0.4572897882727304,0.35174578637548914,0.713347550472103,76.7808,73.90458
11,11,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.31999522421180593,0.713347550472103,75.92482,73.90458
12,12,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.38351286787754135,0.713347550472103,74.80457,73.90458
13,13,11.995888750022946,16.50232104076833,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.713347550472103,76.1769,73.90458
14,14,11.995888750022946,15.643070079965316,16.115744111941382,0.3526083457538004,0.4572897882727304,0.35174578637548914,0.713347550472103,75.76704,73.90458
15,15,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.3351677638549305,0.713347550472103,78.1499,73.90458
16,16,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.7381044294872131,72.75141,72.75141
17,17,11.995888750022946,15.643070079965316,16.115744111941382,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.8068300164393835,72.06187,72.06187
18,18,11.995888750022946,15.643070079965316,17.79492391216819,0.39661778011512927,0.4572897882727304,0.35174578637548914,0.8068300164393835,72.51147,72.06187
19,19,11.995888750022946,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8068300164393835,71.88503,71.88503
20,20,11.995888750022946,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.87097,66.87097
21,21,11.64846686780888,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.59247,66.87097
22,22,11.995888750022946,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8074366910967763,70.5679,66.87097
23,23,12.02457789739018,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.35232,66.87097
24,24,11.995888750022946,15.643070079965316,16.115744111941382,0.45497842208550027,0.4654703668468097,0.35174578637548914,0.8958273137784272,67.15659,66.87097
25,25,12.016013786520992,15.643070079965316,16.115744111941382,0.45497842208550027,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.7576,66.87097
26,26,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,64.34523,64.34523
27,27,11.995888750022946,15.643070079965316,16.115744111941382,0.4072950298580841,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.09172,64.34523
28,28,11.995888750022946,15.611505431170318,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.16573,64.34523
29,29,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.9161101928551733,66.93085,64.34523
30,30,11.978932903032632,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,65.09099,64.34523
31,31,11.995888750022946,15.643070079965316,17.461709219580708,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.4216,64.34523
32,32,11.995888750022946,15.643070079965316,16.284250641786393,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.33584,64.34523
33,33,11.995888750022946,15.643070079965316,16.115744111941382,0.47666030480807187,0.4572897882727304,0.35174578637548914,0.8958273137784272,69.01739,64.34523
34,34,11.995888750022946,14.902695872216894,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.97834,64.34523
35,35,10.912439801529912,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.84056,64.34523
36,36,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.37188167757549967,0.8958273137784272,69.50796,64.34523
37,37,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.28373137740323595,0.8958273137784272,67.72458,64.34523
38,38,11.995888750022946,15.570531271672566,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.27817,64.34523
39,39,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8849487654620033,68.79331,64.34523
40,40,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3888646597864476,0.8958273137784272,66.86744,64.34523
41,41,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8246167758668258,67.28012,64.34523
42,42,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.3020779050923259,0.8958273137784272,67.40782,64.34523
43,43,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8559836042305027,69.39078,64.34523
44,44,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.4072127083884955,0.8958273137784272,66.34664,64.34523
45,45,11.995888750022946,15.643070079965316,16.115744111941382,0.35639234174822665,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.9143,64.34523
46,46,11.995888750022946,15.643070079965316,16.115744111941382,0.3477002030755575,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.8471,64.34523
47,47,12.759770131024066,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.11255,64.34523
48,48,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.2670835484927495,0.8958273137784272,68.95493,64.34523
49,49,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.36009594745873397,0.8958273137784272,69.60374,64.34523
50,50,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.32983632663117346,0.8958273137784272,68.01545,64.34523
51,51,11.995888750022946,15.643070079965316,16.115744111941382,0.464033056863075,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.68643,64.34523
52,52,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8673771758781097,69.76133,64.34523
53,53,11.995888750022946,16.651806192339006,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,70.01802,64.34523
54,54,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.40579338743267945,0.8958273137784272,66.84215,64.34523
55,55,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.5219276406922418,0.35174578637548914,0.8958273137784272,68.84753,64.34523
56,56,11.995888750022946,15.643070079965316,16.115744111941382,0.3455591004087857,0.4572897882727304,0.35174578637548914,0.8958273137784272,68.04857,64.34523
57,57,11.995888750022946,15.643070079965316,15.16466967565781,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.77621,64.34523
58,58,10.346413470852,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,67.76092,64.34523
59,59,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.47789633295993944,0.35174578637548914,0.8958273137784272,68.631,64.34523
60,60,12.935696060886972,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.35174578637548914,0.8958273137784272,66.58463,64.34523
61,61,11.995888750022946,15.643070079965316,16.115744111941382,0.4382750889741181,0.4572897882727304,0.43408890757295304,0.8958273137784272,65.93595,64.34523
