...1,gen,pA,pB,pD,btss49,tJ,tF,tG,tH,RUT3,error,min_error,sim,final_min_error
3878,3878,9.690606843817662,4.086258592350036,12.946664821622049,1.2273738034255957,0.00673843980754452,0.397443309214019,0.3869343415877708,0.9155950023189576,0.24137120655665945,20.01145,20.01145,7,20.01145
3886,3886,9.780791648157203,4.488797761926587,13.594534366688174,1.117977986617209,0.05016562369617217,0.3643565583641531,0.36570086709859406,0.8905660241727164,0.29702411601625694,20.41025,20.41025,19,20.41025
3919,3919,4.653847158294703,5.122090798029052,12.174179950186694,1.5905279619082595,0.00634974345056294,0.3999544291217177,0.33926020642786564,0.875106018308099,0.31639270672672515,20.63862,20.63862,1,20.63862
3786,3786,5.914746868664693,3.975217621117097,11.519126148440966,1.602580454687102,0.02028144382292228,0.4440247578599944,0.28834327361628864,0.89286212239595,0.2430310855713048,20.7367,20.7367,16,20.7367
3509,3509,18.597960531225908,5.138320561529065,13.70379422221286,1.3685214385520617,0.03604841420528129,0.4060062709160988,0.43270096699851424,0.9484407488861908,0.2862784326338008,20.89889,20.89889,8,20.89889
3321,3321,7.104504587511703,4.71032929261265,13.211696344339162,1.586211847269889,0.02353889829380942,0.4398335047684858,0.2946377191469459,0.9245715374187998,0.2613251012564842,20.90898,20.90898,6,20.90898
3982,3982,9.385293917495552,4.726957292592207,11.578036119508193,1.704270113284001,0.01638942371003074,0.3784078468765369,0.35762758035679365,0.901062183025347,0.28208943564708805,21.54007,21.54007,4,21.54007
3705,3705,14.299710617546246,4.921603587184322,11.039301578548288,1.4885068329659896,0.02812580970547744,0.34144433076883696,0.368087558384832,0.930403170939091,0.364643551307193,21.69575,21.69575,15,21.69575
3804,3804,4.9389804353829145,4.3310178909841515,11.222812978476393,1.8561326863371637,3.8126567501258e-4,0.4662876069126732,0.32146430359360556,0.8659140299428592,0.2860804293185765,21.979,21.979,17,21.979
3856,3856,9.149377315029408,5.688584401939759,13.263737136186876,1.7663899792704685,0.00575003458629475,0.4514593179373805,0.3772696835824332,0.9112680638337656,0.39277554203613024,22.53426,22.53426,20,22.53426
3972,3972,12.787158141774247,4.973439436327208,11.68394662325284,2.2012457365593052,0.00341986011424254,0.46840637639017274,0.2962453209539836,0.9438139447607404,0.2970308120043901,23.11458,23.11458,2,23.11458
3940,3940,5.996935496681877,4.988510801221033,9.835830447346243,2.2762847041601346,0.00843888038232232,0.4131873516575541,0.2888652174101602,0.883793277641994,0.27914277420237993,23.20909,23.20909,5,23.20909
3910,3910,8.873316923351846,5.481539464194436,10.722598624888338,2.3543641658461874,0.01037915985410143,0.4284360626595325,0.29927217061961975,0.9175488848183498,0.32583833873900175,23.63618,23.63618,18,23.63618
2987,2987,6.8018870187186256,5.307381830651868,9.782117871443482,1.9593511727489716,0.04576764687069351,0.2948533483252434,0.42089083436122665,0.9139926728480856,0.32702266225137633,23.95693,23.95693,12,23.95693
2217,2217,12.617024203559978,5.2226631666630405,11.27620774229633,2.6951889660069215,0.00223203085968146,0.3903081825958974,0.4323867860330427,0.91706930278351,0.2994221085669,24.27524,24.27524,13,24.27524
3521,3521,4.64946478914933,6.02165797403914,11.765451188130744,2.354909845702215,0.04872964939560065,0.3685709725487857,0.3114546158288722,0.9116980916964168,0.48958957745944454,24.95931,24.95931,11,24.95931
3023,3023,10.091541422370325,6.006848912827485,10.208135366216554,2.8692245987083465,0.03384329750757971,0.4462239636115245,0.2984065074368723,0.922080477042534,0.39708772783424673,25.90921,25.90921,10,25.90921
3652,3652,6.612317407532428,5.285435910397465,11.32252157674961,3.117930548000875,0.01820551905062972,0.37096975032206186,0.5535740140279523,0.9041990256668884,0.41122539891910864,26.44205,26.44205,14,26.44205
1565,1565,6.89397673705528,6.290957155281161,12.123169598019564,3.312523887813865,0.02021111323926411,0.22866920041081865,0.43906784404093874,0.953813671975958,0.32409197657561567,29.39839,29.39839,9,29.39839
2522,2522,13.474554044882783,6.507596487912154,16.019375356595887,7.50165685180156,0.19326706665622229,0.2978984889560172,0.23401669564722088,0.863703272794323,0.4352565351933647,42.08152,42.08152,3,42.08152
